report_date,meduzot_beach_name,source,species,intensity,actual,model_beach_id,model_beach_name,jellyfishnet_probability,jellyfishnet_yes_no,jellyfishnet_error,baseline_probability,baseline_yes_no,baseline_error
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Some,1,15,Jaffa-Tel Aviv,0.32836756110191345,No,,0.5986233949661255,Yes,
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.5667985081672668,Yes,,0.6153952479362488,Yes,
2024-06-07,,citizen_science_occurrence,Cnidaria,,1,14,Tel Aviv-Herzlia,0.35154831409454346,No,,0.49423733353614807,No,
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Some,1,18,Ashdod-Palmahim,0.4523099362850189,No,,0.6867099404335022,Yes,
2024-06-07,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.36572131514549255,No,,0.3568113148212433,No,
2024-06-07,,citizen_science_occurrence,Phyllorhiza punctata,,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-07,,,No data found for beach 20 on 2024-06-07
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Few,1,6,Atlit-Tira,0.242386132478714,No,,0.4008010923862457,No,
2024-06-07,,citizen_science_occurrence,Beroe ovata,Few,1,9,Hadera-Jisr a zarqa,0.5287559628486633,Yes,,0.6954656839370728,Yes,
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Few,1,11,Natanya-Michmoret,0.3721792995929718,No,,0.41752439737319946,No,
2024-06-07,,citizen_science_occurrence,Cnidaria,,1,7,Dor-Atlit,0.22649580240249634,No,,0.2464299350976944,No,
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Few,1,19,Ashkelon-Ashdod,0.3321826756000519,No,,0.41477078199386597,No,
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Few,1,8,Jisr a zarqa-Dor,0.43778523802757263,No,,0.5360658168792725,Yes,
2024-06-07,,citizen_science_occurrence,Cnidaria,,1,4,Shiqmona-Kiryat yam,0.21210524439811707,No,,0.16554337739944458,No,
2024-06-07,,citizen_science_occurrence,Cnidaria,Few,1,10,Michmoret-Hadera,0.39219430088996887,No,,0.4653058350086212,No,
2024-06-07,,citizen_science_occurrence,Rhopilema nomadica,Few,1,12,Gaash-Natanya,0.32646891474723816,No,,0.35710495710372925,No,
2024-06-08,,citizen_science_occurrence,Cnidaria,,1,7,Dor-Atlit,0.2296295017004013,No,,0.23131507635116577,No,
2024-06-08,,citizen_science_occurrence,Cnidaria,,1,18,Ashdod-Palmahim,0.419949471950531,No,,0.6147754788398743,Yes,
2024-06-08,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.37377431988716125,No,,0.49954885244369507,No,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Few,1,4,Shiqmona-Kiryat yam,0.21427586674690247,No,,0.20352669060230255,No,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.539896547794342,Yes,,0.6970468759536743,Yes,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,,1,14,Tel Aviv-Herzlia,0.3378736972808838,No,,0.5658017992973328,Yes,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Some,1,16,Rishon-Jaffa,0.4590137302875519,No,,0.2690090835094452,No,
2024-06-08,,citizen_science_occurrence,Phyllorhiza punctata,Few,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-08,,,No data found for beach 20 on 2024-06-08
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Few,1,10,Michmoret-Hadera,0.34624576568603516,No,,0.6555021405220032,Yes,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Few,1,15,Jaffa-Tel Aviv,0.3262454867362976,No,,0.5359854102134705,Yes,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Some,1,6,Atlit-Tira,0.22069430351257324,No,,0.3343285322189331,No,
2024-06-08,,citizen_science_occurrence,Cnidaria,,1,3,Kiryat Yam-Acco,0.2384752631187439,No,,0.348971962928772,No,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Few,1,8,Jisr a zarqa-Dor,0.40868034958839417,No,,0.6964568495750427,Yes,
2024-06-08,,citizen_science_occurrence,Rhopilema nomadica,Some,1,11,Natanya-Michmoret,0.42103859782218933,No,,0.43301790952682495,No,
2024-06-08,,citizen_science_occurrence,Cnidaria,,1,9,Hadera-Jisr a zarqa,0.5158891677856445,Yes,,0.7367262840270996,Yes,
2024-06-09,,citizen_science_occurrence,Rhopilema nomadica,Some,1,14,Tel Aviv-Herzlia,0.34833043813705444,No,,0.5305142402648926,Yes,
2024-06-09,,citizen_science_occurrence,Rhopilema nomadica,Few,1,18,Ashdod-Palmahim,0.4117239713668823,No,,0.4536275565624237,No,
2024-06-09,,citizen_science_occurrence,Cnidaria,,1,15,Jaffa-Tel Aviv,0.31248652935028076,No,,0.4773440659046173,No,
2024-06-09,,citizen_science_occurrence,Cnidaria,,1,3,Kiryat Yam-Acco,0.2241600751876831,No,,0.3134571313858032,No,
2024-06-09,,citizen_science_occurrence,Rhopilema nomadica,Some,1,11,Natanya-Michmoret,0.4450657367706299,No,,0.36441558599472046,No,
2024-06-09,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.3758295178413391,No,,0.48431500792503357,No,
2024-06-09,,citizen_science_occurrence,Cnidaria,,1,10,Michmoret-Hadera,0.3482951521873474,No,,0.5832161903381348,Yes,
2024-06-09,,citizen_science_occurrence,Rhopilema nomadica,Some,1,6,Atlit-Tira,0.22366009652614594,No,,0.28703150153160095,No,
2024-06-09,,citizen_science_occurrence,Rhopilema nomadica,Few,1,4,Shiqmona-Kiryat yam,0.17735598981380463,No,,0.1354534775018692,No,
2024-06-10,,citizen_science_occurrence,Cnidaria,,1,7,Dor-Atlit,0.2396513968706131,No,,0.2356952279806137,No,
2024-06-10,,citizen_science_occurrence,Cnidaria,,1,13,Herzlia-Gaash,0.584405243396759,Yes,,0.6818698644638062,Yes,
2024-06-10,,citizen_science_occurrence,Rhopilema nomadica,Some,1,19,Ashkelon-Ashdod,0.274945467710495,No,,0.4781301021575928,No,
2024-06-10,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.35149216651916504,No,,0.5070108771324158,Yes,
2024-06-10,,citizen_science_occurrence,Cnidaria,,1,12,Gaash-Natanya,0.2712492346763611,No,,0.3608125150203705,No,
2024-06-10,,citizen_science_occurrence,Rhopilema nomadica,Few,1,1,Nahariya-Rosh Hniqra,0.38974782824516296,No,,0.41321611404418945,No,
2024-06-10,,citizen_science_occurrence,Rhopilema nomadica,Few,1,3,Kiryat Yam-Acco,0.23416267335414886,No,,0.3702833652496338,No,
2024-06-10,,citizen_science_occurrence,Cnidaria,,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-10,,,No data found for beach 20 on 2024-06-10
2024-06-10,,citizen_science_occurrence,Rhopilema nomadica,Some,1,9,Hadera-Jisr a zarqa,0.5449995994567871,Yes,,0.6902047991752625,Yes,
2024-06-11,,citizen_science_occurrence,Cnidaria,,1,13,Herzlia-Gaash,0.5986078381538391,Yes,,0.6497130393981934,Yes,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Few,1,7,Dor-Atlit,0.20462393760681152,No,,0.1886131912469864,No,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Few,1,1,Nahariya-Rosh Hniqra,0.39157354831695557,No,,0.5127032995223999,Yes,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Few,1,18,Ashdod-Palmahim,0.4543842673301697,No,,0.6058606505393982,Yes,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Some,1,9,Hadera-Jisr a zarqa,0.5633585453033447,Yes,,0.7051171660423279,Yes,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Few,1,3,Kiryat Yam-Acco,0.22325055301189423,No,,0.31209203600883484,No,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Few,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-11,,,No data found for beach 20 on 2024-06-11
2024-06-11,,citizen_science_occurrence,Cnidaria,,1,4,Shiqmona-Kiryat yam,0.18891900777816772,No,,0.17635557055473328,No,
2024-06-11,,citizen_science_occurrence,Rhopilema nomadica,Some,1,6,Atlit-Tira,0.20679724216461182,No,,0.3575291335582733,No,
2024-06-11,,citizen_science_occurrence,Cnidaria,,1,14,Tel Aviv-Herzlia,0.3697638213634491,No,,0.5407429337501526,Yes,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Some,1,18,Ashdod-Palmahim,0.5047789812088013,Yes,,0.5963451862335205,Yes,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Swarm,1,16,Rishon-Jaffa,0.5179343819618225,Yes,,0.3582299053668976,No,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,,1,14,Tel Aviv-Herzlia,0.3745197057723999,No,,0.47435232996940613,No,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Few,1,6,Atlit-Tira,0.19414614140987396,No,,0.2732080817222595,No,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Some,1,4,Shiqmona-Kiryat yam,0.18036408722400665,No,,0.1755412518978119,No,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Few,1,15,Jaffa-Tel Aviv,0.36600539088249207,No,,0.4957513213157654,No,
2024-06-12,,citizen_science_occurrence,Cnidaria,,1,13,Herzlia-Gaash,0.6089910268783569,Yes,,0.6529501080513,Yes,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Some,1,3,Kiryat Yam-Acco,0.20712509751319885,No,,0.28540655970573425,No,
2024-06-12,,citizen_science_occurrence,Cnidaria,,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-12,,,No data found for beach 20 on 2024-06-12
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Few,1,10,Michmoret-Hadera,0.34223538637161255,No,,0.45013847947120667,No,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Few,1,8,Jisr a zarqa-Dor,0.4707348644733429,No,,0.7228814363479614,Yes,
2024-06-12,,citizen_science_occurrence,Rhizostoma pulmo,Few,1,19,Ashkelon-Ashdod,0.32450607419013977,No,,0.44454488158226013,No,
2024-06-12,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.3739161193370819,No,,0.46954208612442017,No,
2024-06-12,,citizen_science_occurrence,Rhopilema nomadica,Few,1,7,Dor-Atlit,0.17708289623260498,No,,0.19155535101890564,No,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Some,1,15,Jaffa-Tel Aviv,0.346371591091156,No,,0.5650067925453186,Yes,
2024-06-13,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.34803417325019836,No,,0.32738134264945984,No,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Some,1,16,Rishon-Jaffa,0.5183029174804688,Yes,,0.4111844599246979,No,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Some,1,18,Ashdod-Palmahim,0.4760032892227173,No,,0.6082816123962402,Yes,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Few,1,4,Shiqmona-Kiryat yam,0.17311683297157288,No,,0.12813639640808105,No,
2024-06-13,,citizen_science_occurrence,Cnidaria,,1,10,Michmoret-Hadera,0.33960622549057007,No,,0.5123101472854614,Yes,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Few,1,7,Dor-Atlit,0.18013706803321838,No,,0.1855144053697586,No,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Few,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-13,,,No data found for beach 20 on 2024-06-13
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.3793885111808777,No,,0.548521876335144,Yes,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Few,1,3,Kiryat Yam-Acco,0.2049672156572342,No,,0.3251085579395294,No,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Few,1,11,Natanya-Michmoret,0.4784902036190033,No,,0.49105849862098694,No,
2024-06-13,,citizen_science_occurrence,Rhopilema nomadica,Some,1,13,Herzlia-Gaash,0.621985137462616,Yes,,0.6894028782844543,Yes,
2024-06-14,,citizen_science_occurrence,Cnidaria,,1,18,Ashdod-Palmahim,0.4685784578323364,No,,0.5387668013572693,Yes,
2024-06-14,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.3490262031555176,No,,0.34008321166038513,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Few,1,3,Kiryat Yam-Acco,0.20608747005462646,No,,0.35492920875549316,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Some,1,6,Atlit-Tira,0.19999460875988007,No,,0.290231853723526,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.4046156406402588,No,,0.5671699643135071,Yes,
2024-06-14,,citizen_science_occurrence,Cnidaria,,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-14,,,No data found for beach 20 on 2024-06-14
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Some,1,15,Jaffa-Tel Aviv,0.37047141790390015,No,,0.4770887792110443,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Few,1,11,Natanya-Michmoret,0.5010934472084045,Yes,,0.43851834535598755,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Few,1,10,Michmoret-Hadera,0.3316420912742615,No,,0.4856591522693634,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Some,1,13,Herzlia-Gaash,0.6228585839271545,Yes,,0.6889345645904541,Yes,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Few,1,7,Dor-Atlit,0.17291271686553955,No,,0.15887980163097382,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Few,1,12,Gaash-Natanya,0.4483979046344757,No,,0.36746853590011597,No,
2024-06-14,,citizen_science_occurrence,Cnidaria,,1,4,Shiqmona-Kiryat yam,0.1783227026462555,No,,0.15449485182762146,No,
2024-06-14,,citizen_science_occurrence,Rhopilema nomadica,Some,1,19,Ashkelon-Ashdod,0.3152356743812561,No,,0.4041321277618408,No,
2024-06-14,,citizen_science_occurrence,Cnidaria,,1,8,Jisr a zarqa-Dor,0.5191583037376404,Yes,,0.7845905423164368,Yes,
2024-06-15,,citizen_science_occurrence,Cnidaria,,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-15,,,No data found for beach 20 on 2024-06-15
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Few,1,15,Jaffa-Tel Aviv,0.3363818824291229,No,,0.4892522692680359,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Some,1,4,Shiqmona-Kiryat yam,0.155685156583786,No,,0.16255581378936768,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.6189359426498413,Yes,,0.6782110929489136,Yes,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Some,1,8,Jisr a zarqa-Dor,0.5219179391860962,Yes,,0.7907933592796326,Yes,
2024-06-15,,citizen_science_occurrence,Rhizostoma pulmo,,1,14,Tel Aviv-Herzlia,0.4408116042613983,No,,0.559507429599762,Yes,
2024-06-15,,citizen_science_occurrence,Porpita porpita,Few,1,18,Ashdod-Palmahim,0.43552160263061523,No,,0.5283628106117249,Yes,
2024-06-15,,citizen_science_occurrence,Chrysaora pseudoocellata,,1,12,Gaash-Natanya,0.4750976264476776,No,,0.40924882888793945,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,,1,10,Michmoret-Hadera,0.35584163665771484,No,,0.5151983499526978,Yes,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Some,1,1,Nahariya-Rosh Hniqra,0.33081772923469543,No,,0.29572099447250366,No,
2024-06-15,,citizen_science_occurrence,Cnidaria,,1,3,Kiryat Yam-Acco,0.22547531127929688,No,,0.3193041682243347,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Few,1,7,Dor-Atlit,0.16795584559440613,No,,0.18312765657901764,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Few,1,19,Ashkelon-Ashdod,0.30230170488357544,No,,0.43703439831733704,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,Few,1,6,Atlit-Tira,0.20270900428295135,No,,0.31092360615730286,No,
2024-06-15,,citizen_science_occurrence,Rhopilema nomadica,,1,11,Natanya-Michmoret,0.509947657585144,Yes,,0.4719688892364502,No,
2024-06-15,,citizen_science_occurrence,Cnidaria,,1,2,Acco-Nahariyah,0.14067278802394867,No,,0.2240096628665924,No,
2024-06-16,,citizen_science_occurrence,Rhopilema nomadica,Some,1,13,Herzlia-Gaash,0.6147920489311218,Yes,,0.7015024423599243,Yes,
2024-06-16,,citizen_science_occurrence,Cnidaria,,1,18,Ashdod-Palmahim,0.36863574385643005,No,,0.4576307535171509,No,
2024-06-16,,citizen_science_occurrence,Rhopilema nomadica,Some,1,1,Nahariya-Rosh Hniqra,0.38358473777770996,No,,0.23939304053783417,No,
2024-06-16,,citizen_science_occurrence,Rhopilema nomadica,Few,1,3,Kiryat Yam-Acco,0.2241794317960739,No,,0.33232128620147705,No,
2024-06-16,,citizen_science_occurrence,Rhopilema nomadica,Swarm,1,7,Dor-Atlit,0.16694419085979462,No,,0.20066604018211365,No,
2024-06-16,,citizen_science_occurrence,Rhopilema nomadica,Few,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-16,,,No data found for beach 20 on 2024-06-16
2024-06-16,,citizen_science_occurrence,Mnemiopsis Leidyi,Few,1,10,Michmoret-Hadera,0.349907249212265,No,,0.47132471203804016,No,
2024-06-16,,citizen_science_occurrence,Rhopilema nomadica,Some,1,2,Acco-Nahariyah,0.14124950766563416,No,,0.21046164631843567,No,
2024-06-16,,citizen_science_occurrence,Rhizostoma pulmo,Few,1,14,Tel Aviv-Herzlia,0.4502599835395813,No,,0.6015809774398804,Yes,
2024-06-16,,citizen_science_occurrence,Cnidaria,,1,15,Jaffa-Tel Aviv,0.3056184649467468,No,,0.4333306849002838,No,
2024-06-17,,citizen_science_occurrence,Cnidaria,,1,13,Herzlia-Gaash,0.6223170161247253,Yes,,0.7085894346237183,Yes,
2024-06-17,,citizen_science_occurrence,Rhopilema nomadica,Some,1,1,Nahariya-Rosh Hniqra,0.37302717566490173,No,,0.2593337595462799,No,
2024-06-17,,citizen_science_occurrence,Rhopilema nomadica,Some,1,18,Ashdod-Palmahim,0.3286476731300354,No,,0.4926423728466034,No,
2024-06-17,,citizen_science_occurrence,Cnidaria,,1,14,Tel Aviv-Herzlia,0.47222352027893066,No,,0.6104908585548401,Yes,
2024-06-17,,citizen_science_occurrence,Rhopilema nomadica,Few,1,15,Jaffa-Tel Aviv,0.30794432759284973,No,,0.4277157783508301,No,
2024-06-17,,citizen_science_occurrence,Rhizostoma pulmo,Few,1,11,Natanya-Michmoret,0.5465425252914429,Yes,,0.44368261098861694,No,
2024-06-17,,citizen_science_occurrence,Rhopilema nomadica,Some,1,3,Kiryat Yam-Acco,0.22159308195114136,No,,0.27987444400787354,No,
